1000,100,500,50
1001,101,500,51
1001,101,501,50
1002,102,501,51
1002,102,500,51
1003,103,499,51
1003,103,500,50
1004,104,500,50
1004,104,501,49
1005,105,500,49
1005,105,501,49
1006,106,500,49
1006,106,501,48
1007,107,502,47
1007,107,502,48
1008,108,503,48
1008,108,502,48
1009,109,501,48
1009,109,500,48
1010,110,500,48
1010,110,499,47
1011,111,499,48
1011,111,500,47
1012,112,501,46
1012,112,500,46
1013,113,501,46
1013,113,502,46
1014,114,502,46
1014,114,503,45
1015,115,503,45
1015,115,504,45
1016,116,505,46
1016,116,504,46
1017,117,504,47
1017,117,505,47
1018,118,505,47
1018,118,505,47
1019,119,504,46
1019,119,503,46
1020,120,502,46
1020,120,501,46
1021,121,501,46
1021,121,501,46
1022,122,501,47
1022,122,502,47
1023,123,502,47
1023,123,503,46
1024,124,504,45
1024,124,504,46
1025,125,504,45
1025,125,505,44
1026,126,505,45
1026,126,504,44
1027,127,505,44
1027,127,505,44
1028,128,505,44
1028,128,505,43
1029,129,506,44
1029,129,505,44
1030,130,506,43
1030,130,505,43
1031,131,506,42
1031,131,505,41
1032,132,505,41
1032,132,505,42
1033,133,504,43
1033,133,504,43
1034,134,504,43
1034,134,504,43
1035,135,504,44
1035,135,503,43
1036,136,502,42
1036,136,502,42
1037,137,503,41
1037,137,502,41
1038,138,501,42
1038,138,500,42
1039,139,501,41
1039,139,501,42
1040,140,502,42
1040,140,502,42
1041,141,502,42
1041,141,503,41
1042,142,503,41
1042,142,502,41
1043,143,503,40
1043,143,503,40
1044,144,502,40
1044,144,502,41
1045,145,502,41
1045,145,502,42
1046,146,503,42
1046,146,503,42
1047,147,502,41
1047,147,501,40
1048,148,501,41
1048,148,501,41
1049,149,501,41
1049,149,502,40
1050,150,501,40
1050,150,501,40
